name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Florida‐Georgia,https://en.wikipedia.org/wiki/Joey_Moi,no,50,,,Found,TRUE,seq=3.5; last-mismatch:-4; human:+40; fl:+10,"Joey Moi is a Canadian record producer, mixer, and audio engineer known for his work in rock and metal genres. Born in the 1970s (exact date not publicly documented), he has produced albums for notable bands like Nickelback, Disturbed, and Asking Alexandria. His career spans over two decades, earning him multiple award nominations, including Juno Awards and Grammy recognition for his engineering work. Moi is recognized for shaping the sound of modern hard rock and heavy metal through his production techniques.",,1970-01-01,,not found,not found,male,no,no,no,yes
Columbia,https://en.wikipedia.org/wiki/Rick_Scott,no,50,,,Found,TRUE,seq=4.4; last-mismatch:-4; human:+40; fl:+10,"Richard Lynn Scott, commonly known as Rick Scott, was born on December 1, 1952, in Bloomington, Illinois. He is an American politician and businessman who co-founded Columbia Hospital Corporation, which later merged to become Columbia/HCA, one of the largest for-profit hospital chains in the U.S. Scott served as the 45th Governor of Florida from 2011 to 2019 and has been a U.S. Senator from Florida since 2019, representing the Republican Party. His career has been marked by both significant business success and controversy, including a major Medicare fraud investigation during his tenure at Columbia/HCA.","['University of Missouri–Kansas City', 'Bachelor of Science in Business Administration', 'Southern Methodist University', 'Juris Doctor']",1952-12-01,,"Bloomington, Illinois, United States",not found,male,no,yes,no,no
"Fred N. Dunn, Sr.",https://en.wikipedia.org/wiki/Steve_Spurrier,no,50,,,Found,TRUE,seq=5.2; last-mismatch:-4; human:+40; fl:+10,"Steve Spurrier, born April 20, 1945, is a former American football player and coach best known for his success as a quarterback and later as a head coach. He won the Heisman Trophy in 1966 while playing for the University of Florida and led the Florida Gators to six SEC championships as their head coach from 1990 to 2001. Spurrier also coached in the NFL with the Washington Redskins and later returned to college football, coaching the South Carolina Gamecocks from 2005 to 2015. His innovative offensive strategies and competitive spirit cemented his legacy as one of the most influential figures in college football history.","['Science Hill High School', ""University of Florida, Bachelor's Degree""]",1945-04-20,,"Miami Beach, Florida, United States",not found,male,yes,no,no,no
Senator N. Ray Carroll,https://en.wikipedia.org/wiki/Rick_Scott,no,50,,,Found,TRUE,seq=2.5; last-mismatch:-4; human:+40; fl:+10,"Richard Lynn Scott, born December 1, 1952, is an American politician and businessman who served as the 45th Governor of Florida from 2011 to 2019. A former healthcare executive, he co-founded Columbia Hospital Corporation (later Columbia/HCA), which became the largest for-profit hospital chain in the U.S., though it faced a major Medicare fraud investigation resulting in a $1.7 billion settlement. Scott later transitioned into politics, winning a U.S. Senate seat in 2018 as a Republican, where he continues to serve, advocating for conservative policies and business-friendly legislation. His career spans healthcare entrepreneurship, venture capitalism, and public office, making him a prominent figure in both corporate and political spheres.","['University of Missouri–Kansas City', 'Bachelor of Science in Business Administration', 'Southern Methodist University', 'Juris Doctor']",1952-12-01,,"Bloomington, Illinois, United States",not found,male,no,yes,no,no
Dolphin,https://en.wikipedia.org/wiki/Dolphin_%28musician%29,no,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"Dolphin (real name Andrei Vladimirovich Lysikov) was a Russian rapper and musician born on August 27, 1972. He rose to prominence in the 1990s as a key figure in the Russian hip-hop scene, founding the influential group Мальчишник (Malchishnik) and later pursuing a solo career. Known for his lyrical depth and contributions to underground rap, Dolphin became one of the most respected artists in Russian hip-hop before his untimely death. He passed away on April 17, 2023, leaving behind a lasting legacy in the genre.",,1972-08-27,2023-04-17,"Moscow, Russia","Moscow, Russia",male,no,no,no,yes
Marlins,https://en.wikipedia.org/wiki/Jeffrey_Loria,no,50,,,Found,TRUE,seq=2.0; last-mismatch:-4; human:+40; fl:+10,"Jeffrey Loria was born on November 20, 1940, in Manhattan, New York, USA. He is best known as the former owner of Major League Baseball teams, including the Montreal Expos (1999–2002) and the Miami Marlins (2002–2017). His tenure with the Marlins was marked by both a World Series championship in 2003 and significant controversy over stadium financing and team management. Beyond sports, Loria is also recognized as an art dealer and philanthropist, with a notable collection of modern and contemporary art.","['Yale University, BA', 'Columbia University, MBA']",1940-11-20,,"Manhattan, New York, United States",not found,male,yes,yes,no,no
"Reverend Dr. C.P. Preston, Jr.",https://en.wikipedia.org/wiki/Quincy_Jones,no,50,,,Found,TRUE,seq=3.8; last-mismatch:-4; human:+40; fl:+10,"Quincy Jones is an American record producer, musician, and composer born on March 14, 1933, in Chicago, Illinois. Renowned for his groundbreaking work in jazz, pop, and film scoring, he became one of the most influential figures in 20th-century music, collaborating with legends like Michael Jackson, Frank Sinatra, and Miles Davis. His production of Thriller (1982) remains the best-selling album of all time, earning him 28 Grammy Awards—more than any other artist. Jones also broke racial barriers in Hollywood as the first African American to score major motion pictures and achieve high-level executive roles in the entertainment industry.","['Seattle University (formerly Seattle College), Music Scholarship (1951)', 'Berklee College of Music (Honorary Doctorate, 1983)', 'Howard University (Honorary Doctorate)']",1933-03-14,,"Chicago, Illinois, United States",not found,male,no,no,no,yes
Pepin,https://en.wikipedia.org/wiki/Spike_Mendelsohn,no,50,,,Found,TRUE,seq=5.7; last-mismatch:-4; human:+40; fl:+10,"Spike Mendelsohn is an American chef and restaurateur born on September 21, 1978, best known for co-founding the fast-casual burger chain Good Stuff Eatery and appearing as a contestant on Top Chef (Season 4). He gained further recognition for creating the Prez Obama Burger, a signature dish named after former U.S. President Barack Obama, who visited his restaurant in 2009. Mendelsohn has been active in culinary media, including TV appearances and cookbook publications, while also engaging in food-related activism. His work bridges gourmet cooking with accessible dining, making him a notable figure in modern American cuisine.","['The Culinary Institute of America (CIA), Bachelor of Professional Studies (BPS) in Culinary Arts', 'University of Michigan, (attended, no degree specified)']",1978-09-21,,"Washington, D.C., United States",not found,male,no,no,no,no
General Bill Lundy,https://en.wikipedia.org/wiki/Sidney_Johnston_Catts,no,50,,,Found,TRUE,seq=3.1; last-mismatch:-4; human:+40; fl:+10,"Sidney Johnston Catts was born on July 31, 1863, and died on March 9, 1936. He was an American politician who served as the 22nd Governor of Florida from 1917 to 1921, known for his progressive and populist policies. A member of the Prohibition Party, Catts was the first and only Florida governor elected from that party. His tenure was marked by advocacy for temperance, education reform, and opposition to corporate influence in government.",,1863-07-31,1936-03-09,"Pleasant Ridge, Alabama, United States","Tallahassee, Florida, United States",male,no,yes,no,no
Buccaneer,https://en.wikipedia.org/wiki/Desmond_Watson,no,50,,,Found,TRUE,seq=3.5; last-mismatch:-4; human:+40; fl:+10,"Desmond Watson is an American football running back known for his collegiate career. Born in 1999, he played college football at the University of Texas at El Paso (UTEP) before briefly entering the professional ranks. Watson gained recognition for his performance on the field, particularly during his time in the NCAA. His career reflects his dedication to the sport, though he has not yet achieved widespread professional prominence.","[""University of Texas at El Paso (UTEP), Bachelor's Degree (assumed)""]",1999-01-01,,not found,not found,male,yes,no,no,no
Julius ‘July’ Perry,https://en.wikipedia.org/wiki/Julius_Carry,no,49.9,,,Found,TRUE,seq=12.9; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Julius Carry was an American actor born on July 12, 1952, best known for his roles in film and television during the 1980s and 1990s. He gained recognition for his portrayal of Lord Bowler in The Adventures of Brisco County Jr. and as the villainous Sho'nuff in The Last Dragon. Carry also appeared in numerous other TV shows and movies, showcasing his versatility as a character actor. He passed away on August 19, 2008, leaving behind a legacy in entertainment marked by his distinctive presence and talent.",,1952-07-12,2008-08-19,"Chicago, Illinois, United States","Los Angeles, California, United States",male,no,no,no,no
Le Jeune,https://en.wikipedia.org/wiki/Paul_Le_Jeune,no,49.2,,,Found,TRUE,seq=15.2; human:+40; fl-miss:-10,"Paul Le Jeune was a French Jesuit missionary born on April 15, 1591, in Vitry-le-François, France. He is best known for his extensive work in New France (modern-day Canada), where he played a pivotal role in establishing Jesuit missions among Indigenous peoples, particularly the Montagnais and Huron. Le Jeune authored the Jesuit Relations, a series of annual reports that documented early colonial encounters, Indigenous cultures, and missionary efforts, becoming a critical historical source. He died on August 7, 1664, in Paris, France, leaving a lasting legacy in the study of North American colonial and religious history.","['Collège de Clermont (Jesuit College), Paris', 'Theological studies under the Society of Jesus']",1591-04-15,1664-08-07,"Vitry-le-François, Champagne, France","Paris, Île-de-France, France",male,no,no,no,no
