name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
William H. Turner,William H. Turner Memorial Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/William_H._Turner_%28politician%29,Found,27.0,true,seq=20.0; fl:+10; county-miss:-8; us:+5,"William H. Turner was an American politician born in 1837. He served as a member of the United States House of Representatives from Kentucky during the late 19th century. Turner was affiliated with the Democratic Party and contributed to legislative matters during his tenure. He died in 1916, leaving behind a legacy in Kentucky's political history.",,1837-01-01,1916-01-01,not found,not found,male,no,yes,no,no
Willy Chirino,Willy Chirino Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Ayl%C3%ADn_M%C3%BAjica,Found,47.0,true,seq=3.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Aylín Mújica is a Cuban-Mexican actress and model born on November 26, 1974. She is best known for her work in telenovelas, including prominent roles in productions like Gata salvaje and La tormenta. Mújica has received multiple awards, including the ACE Award for Best Actress and recognition at the Golden Sun Awards. Her career spans over two decades, establishing her as a notable figure in Latin American television and entertainment.",,1974-11-26,,"Havana, Cuba",not found,female,no,no,no,no
Yitzhak Rabin,Yitzhak Rabin Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Al_Gore,Found,47.0,true,seq=6.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Albert Arnold Gore Jr. was born on March 31, 1948, in Washington, D.C., USA. He served as the 45th Vice President of the United States (1993–2001) under President Bill Clinton and was a U.S. Senator and Representative from Tennessee. Gore became globally recognized for his environmental activism, particularly his efforts to combat climate change, earning him the 2007 Nobel Peace Prize alongside the IPCC. He also authored the influential documentary An Inconvenient Truth and remains a prominent advocate for sustainability and technology innovation.","['Harvard University, BA in Government (1969)', 'Vanderbilt University Divinity School (attended, no degree)']",1948-03-31,,"Washington, D.C., United States",not found,male,no,yes,yes,no
Dante B. Fascell,Dante B. Fascell Bridge,Monroe,https://en.wikipedia.org/wiki/Dante_Fascell,Found,67.0,true,seq=17.9; human:+40; fl:+10; county-miss:-8; us:+5,"Dante Bruno Fascell was born on March 9, 1917, and died on November 2, 1998. He was a prominent American politician who served as a Democratic member of the U.S. House of Representatives from Florida for nearly 40 years (1955–1993). Fascell chaired the House Foreign Affairs Committee and played key roles in shaping U.S. foreign policy, including during the Cold War. His legacy includes advocacy for human rights and contributions to international relations legislation.","['University of Miami, Coral Gables, Florida, LL.B. (1940)', 'University of Florida, Gainesville, Florida, B.A. (1938)']",1917-03-09,1998-11-02,"Bridgehampton, New York, United States","Miami, Florida, United States",male,no,yes,yes,no
Representative Bernie C. Papy,Representative Bernie C. Papy Bridge,Monroe,https://en.wikipedia.org/wiki/Bernie_Papy,Found,77.0,true,seq=11.0; human:+40; pol:+15; fl:+10; county-miss:-8; us:+5,"Bernie Papy was a notable figure whose life details are sparsely documented in available sources. No specific birth or death dates, professions, or notable achievements are widely recorded about him. The lack of comprehensive information makes it difficult to ascertain his historical significance or contributions. Further research would be required to provide a detailed account of his life and work.",,,,not found,not found,male,no,no,no,no
"Whale Harbor Joe Roth, Jr","Whale Harbor Joe Roth, Jr., Bridge",Monroe,https://en.wikipedia.org/wiki/John_Anderson_%28actor%29,Found,27.0,true,seq=5.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"John Anderson was an American actor born on October 20, 1922, known for his extensive work in film and television. He appeared in over 200 TV episodes and numerous films, often portraying authoritative figures like lawmen, military officers, or scientists. His career spanned several decades, with notable roles in Psycho (1960), The Outlaw Josey Wales (1976), and TV series like Perry Mason and The Twilight Zone. Anderson passed away on August 7, 1992, leaving behind a legacy as a versatile character actor in Hollywood’s golden era.",,1922-10-20,1992-08-07,"Clayton, Illinois, United States","Sherman Oaks, California, United States",male,no,no,yes,no
Harry S. Truman Overseas,Harry S. Truman Overseas Highway,Multiple Counties,https://en.wikipedia.org/wiki/Harry_S._Truman,Found,44.4,true,seq=15.4; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Harry S. Truman was born on May 8, 1884, and died on December 26, 1972. He served as the 33rd President of the United States from 1945 to 1953, succeeding Franklin D. Roosevelt during the final months of World War II. Truman is best known for authorizing the atomic bombings of Hiroshima and Nagasaki, implementing the Marshall Plan, and overseeing the beginning of the Cold War. A former farmer, soldier, and county judge, his leadership during pivotal post-war years shaped modern American foreign and domestic policy.","['Independence High School, Independence, Missouri', ""Spalding's Commercial College (night school)"", 'University of Missouri–Kansas City School of Law (attended, no degree)']",1884-05-08,1972-12-26,"Lamar, Missouri, United States","Kansas City, Missouri, United States",male,no,yes,yes,no
Gale Lemerand,Gale Lemerand Drive,Alachua,https://en.wikipedia.org/wiki/Ida_B._Wells,Found,27.0,true,seq=4.8; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Ida B. Wells was an African American investigative journalist, educator, and early civil rights leader born on July 16, 1862. She became a prominent activist against lynching in the late 19th and early 20th centuries, using her journalism to expose racial violence and injustice. Wells co-founded the NAACP and was a founding member of the National Association of Colored Women, advocating for suffrage and racial equality. She died on March 25, 1931, leaving a lasting legacy as a pioneering figure in the fight for social justice and press freedom.","['Rust College (attended, expelled for confronting college president)', 'Fisk University (summer sessions, no degree)']",1862-07-16,1931-03-25,"Holly Springs, Mississippi, United States","Chicago, Illinois, United States",female,no,yes,no,no
Marge Pearlson,Marge Pearlson Way,Miami-Dade,https://en.wikipedia.org/wiki/Raymond_Pearlson,Found,4.3,true,seq=13.3; human:+40; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,"Raymond Pearlson was a notable figure whose biographical details are sparsely documented in available sources. No specific birth or death dates, profession, or major achievements are readily accessible from the provided content. The lack of detailed information makes it difficult to assess his historical significance or contributions. Further research would be required to uncover meaningful insights about his life and work.",,,,not found,not found,male,no,no,no,no
Reverend Wilner Maxy,Reverend Wilner Maxy Street,Miami-Dade,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Brittan Alexander,Brittan Alexander Bridge,Citrus,https://en.wikipedia.org/wiki/Michelle_Akers,Found,47.5,true,seq=6.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Michelle Akers is a retired American soccer player born on February 1, 1966, widely regarded as one of the greatest female soccer players of all time. She was a key member of the United States women's national team that won the inaugural 1991 FIFA Women's World Cup, earning the Golden Boot as the tournament's top scorer. Akers played collegiately at the University of Central Florida before becoming a two-time World Cup champion and Olympic gold medalist (1996). Her aggressive playing style and prolific goal-scoring record cemented her legacy as a pioneer in women's soccer and an advocate for the sport's growth globally.",['University of Central Florida'],1966-02-01,,"Santa Clara, California, United States of America",not found,female,yes,no,no,no
Burton R. Quinn,Burton R. Quinn Memorial Highway,Citrus,https://en.wikipedia.org/wiki/John_Robert_Schrieffer,Found,58.5,true,seq=6.5; last-mismatch:-4; human:+40; fl:+10; county:+8,"John Robert Schrieffer was an American physicist born on May 31, 1931, and passed away on July 27, 2019. He is best known for co-developing the BCS theory of superconductivity, a groundbreaking contribution to condensed matter physics that earned him the 1972 Nobel Prize in Physics alongside John Bardeen and Leon Cooper. Schrieffer held academic positions at prestigious institutions, including the University of Illinois and the University of California, Santa Barbara, and later served as the president of the American Physical Society. His work laid the foundation for modern understanding of superconductivity and influenced advancements in quantum mechanics and materials science.","['Massachusetts Institute of Technology (MIT), Bachelor of Science in Physics, 1953', 'University of Illinois at Urbana-Champaign, Ph.D. in Physics, 1957']",1931-05-31,2019-07-27,"Oak Park, Illinois, United States","Tallahassee, Florida, United States",male,no,no,no,no
Franklin Hair,Franklin Hair Bridge,Citrus,https://en.wikipedia.org/wiki/Lorena_Hickok,Found,19.7,true,seq=7.7; last-mismatch:-4; fl:+10; county:+8,"Lorena Hickok was an American journalist born on March 7, 1893, who became one of the most prominent female reporters of her time. She is best known for her close, lifelong relationship with First Lady Eleanor Roosevelt, which sparked significant public and historical interest. Hickok worked as a top investigative reporter for the Associated Press before transitioning into a role within Franklin D. Roosevelt’s administration, where she contributed to New Deal programs. She passed away on May 1, 1968, leaving behind a legacy as a pioneering figure in journalism and LGBTQ+ history.",,1893-03-07,1968-05-01,"East Troy, Wisconsin, United States","Hyde Park, New York, United States",female,no,yes,no,no
